order,month,work_key,doi,title,venue,states_pce,states_certified,states_area,states_t80,isos_protocol,pce_value
53,2026-06,10.1021/acsaem.6c01434,10.1021/acsaem.6c01434,Multifunctional Buried-Interface Engineering for Efficient Low- n Quasi-2D Tin Perovskite Solar Cells,ACS Applied Energy Materials,,,,,,
54,2026-07,10.1021/acsami.6c06661.s001,10.1021/acsami.6c06661.s001,Metallic Lead to Perfect Perovskite: A Bottom-Up Vapor-Assisted Colloidal Strategy for High-Performance Solar Cells,Figshare,,,,,,
55,2026-02,10.1021/acs.accounts.5c00858,10.1021/acs.accounts.5c00858,Resonance Variation-Based Dynamically Adaptive Organic Optoelectronic Materials,Accounts of Chemical Research,,,,,,
56,2026-07,10.1021/acsami.6c08990,10.1021/acsami.6c08990,Energy Band Alignment and Interfaces in FAPbI3 Perovskite Solar Cells: A Hard X-ray Photoelectron Spectroscopy Investigation,ACS Applied Materials & Interfaces,,,,,,
57,2026-02,10.1134/s1063783425602917,10.1134/s1063783425602917,Synthesis and Characterization of CH3NH3SnI3 and CH3NH3SnICl2 Tin-Based Halide Perovskite Films,Physics of the Solid State,,,,,,
58,2026-06,10.1002/adfm.76543,10.1002/adfm.76543,Nucleation‐Crystallization Synergistic Strategy Enables Efficient and Stable Wide‐Bandgap Perovskite Mini‐Modules,Advanced Functional Materials,,,,,,
59,2026-03,10.1002/adfm.74914,10.1002/adfm.74914,Machine Learning‐Driven Molecule Additives for High‐Performance Perovskite Solar Cells with Bandgap Universality and Scalability,Advanced Functional Materials,,,,,,
60,2026-07,10.1002/aenm.71282,10.1002/aenm.71282,Interfacial Regulation by a Multifunctional Self‐Assembled Material for High‐Performance Inverted Perovskite Solar Cells,Advanced Energy Materials,,,,,,
61,2026-07,10.1021/acsami.6c07524,10.1021/acsami.6c07524,Aging-Tolerant Precursor Solution for Perovskite Solar Cells Enabled by Phosphite-Assisted Chemical Protection,ACS Applied Materials & Interfaces,,,,,,
62,2026-05,10.1002/aenm.70883,10.1002/aenm.70883,Multimodal Strategy for Efficient Semi‐Transparent Perovskite Solar Cells and Modules with Record Indoor Performance (Adv. Energy Mater. 17/2026),Advanced Energy Materials,,,,,,
