work_key,doi,device_class,pce_champion,pce_certified,included_in_figure,exclusion_reason
10.1002/adfm.75040,10.1002/adfm.75040,single_junction,25.31,,1,
10.1002/adma.72738,10.1002/adma.72738,perovskite_silicon_tandem,32.43,,1,
10.1021/acsnano.6c00728,10.1021/acsnano.6c00728,single_junction,,,1,
10.1002/adma.72936,10.1002/adma.72936,all_perovskite_tandem,29.01,,1,
10.1002/anie.202519239,10.1002/anie.202519239,single_junction,25.53,,1,
10.1002/adma.72756,10.1002/adma.72756,single_junction,22.76,21.69,1,
10.1002/adma.202523249,10.1002/adma.202523249,single_junction,26.58,26.13,1,
10.1007/s40820-026-02150-7,10.1007/s40820-026-02150-7,single_junction,26.12,,1,
10.1002/inf2.70132,10.1002/inf2.70132,all_perovskite_tandem,22.44,,1,
10.1002/aenm.70806,10.1002/aenm.70806,single_junction,,26.35,1,
10.1038/s41467-026-70002-4,10.1038/s41467-026-70002-4,perovskite_silicon_tandem,19.45,,1,
10.1021/acsenergylett.6c00156,10.1021/acsenergylett.6c00156,perovskite_silicon_tandem,29,,1,
10.1021/acsami.6c00026,10.1021/acsami.6c00026,single_junction,21.83,,1,
10.1002/anie.5319815,10.1002/anie.5319815,single_junction,26.52,,1,
10.1002/adfm.74817,10.1002/adfm.74817,single_junction,25,,1,
10.1002/adfm.75104,10.1002/adfm.75104,single_junction,25.82,,1,
10.1007/s40820-026-02134-7,10.1007/s40820-026-02134-7,module,,,0,lens=review
10.1002/solr.70284,10.1002/solr.70284,single_junction,,,0,lens=theory
10.1021/acs.jpclett.6c00286,10.1021/acs.jpclett.6c00286,single_junction,24.13,,1,
10.1002/aenm.202506494,10.1002/aenm.202506494,single_junction,22.2,,1,
10.1002/adma.72616,10.1002/adma.72616,all_perovskite_tandem,,,1,
10.1002/smll.202514519,10.1002/smll.202514519,single_junction,2.11,,0,lens=theory
10.1002/smll.202600050,10.1002/smll.202600050,single_junction,23.3,,1,
10.1021/acsaem.5c03696,10.1021/acsaem.5c03696,single_junction,19.16,,1,
10.1002/solr.70317,10.1002/solr.70317,single_junction,23.81,,1,
10.1007/s40820-026-02141-8,10.1007/s40820-026-02141-8,all_perovskite_tandem,,,1,
10.1002/adma.202520432,10.1002/adma.202520432,single_junction,26.84,26.78,1,
10.1016/j.joule.2025.102310,10.1016/j.joule.2025.102310,single_junction,26.13,,1,
10.1021/acsenergylett.5c04243,10.1021/acsenergylett.5c04243,all_perovskite_tandem,28.43,,0,lens=theory
10.1016/j.chempr.2026.102941,10.1016/j.chempr.2026.102941,single_junction,23.67,,1,
10.1002/adfm.202531734,10.1002/adfm.202531734,single_junction,26.2,,1,
10.1002/adfm.202531060,10.1002/adfm.202531060,single_junction,25.27,,1,
10.1002/adfm.74893,10.1002/adfm.74893,single_junction,25.81,,1,
10.1021/acs.jpclett.6c00054,10.1021/acs.jpclett.6c00054,single_junction,10.24,,1,
10.1021/acs.jpclett.6c00645,10.1021/acs.jpclett.6c00645,single_junction,,,1,
10.1016/j.esci.2026.100563,10.1016/j.esci.2026.100563,perovskite_silicon_tandem,32.17,31.93,1,
10.1002/aenm.202506760,10.1002/aenm.202506760,single_junction,25.92,,1,
10.1016/j.joule.2026.102396,10.1016/j.joule.2026.102396,perovskite_silicon_tandem,,,0,lens=review
10.1021/jacs.6c02548,10.1021/jacs.6c02548,single_junction,26.56,26.37,1,
10.1002/adma.202521898,10.1002/adma.202521898,all_perovskite_tandem,28.59,19.95,1,
10.1002/adma.202522790,10.1002/adma.202522790,all_perovskite_tandem,29.58,,1,
10.1007/s40820-026-02145-4,10.1007/s40820-026-02145-4,single_junction,26.13,,1,
10.1021/acsami.6c00054,10.1021/acsami.6c00054,single_junction,26.09,,1,
10.1002/aenm.70834,10.1002/aenm.70834,single_junction,,,1,
10.1002/ente.202502035,10.1002/ente.202502035,single_junction,15.63,,1,
